Serial number,Time (UTC),Datum ID,Session ID,Data format version,Firmware version,App version,Timezone offset (mins),Date local (yyyy/MM/dd),Time local (hh:mm:ss),GPS lat (ddmm.mmmmm),GPS long (dddmm.mmmmm),GPS speed (km/h),GPS sat count,Timebase (s),Status,Battery remaining (%),Accel X,Accel Y,Accel Z,Tape position,Flow setpoint (mL/min),Flow total (mL/min),Flow1 (mL/min),Flow2 (mL/min),Sample temp (C),Sample RH (%),Sample dewpoint (C),Internal pressure (Pa),Internal temp (C),Optical config,UV Sen1,UV Sen2,UV Ref,UV ATN1,UV ATN2,UV K,Blue Sen1,Blue Sen2,Blue Ref,Blue ATN1,Blue ATN2,Blue K,Green Sen1,Green Sen2,Green Ref,Green ATN1,Green ATN2,Green K,Red Sen1,Red Sen2,Red Ref,Red ATN1,Red ATN2,Red K,IR Sen1,IR Sen2,IR Ref,IR ATN1,IR ATN2,IR K,UV BC1,UV BC2,UV BCc,Blue BC1,Blue BC2,Blue BCc,Green BC1,Green BC2,Green BCc,Red BC1,Red BC2,Red BCc,IR BC1,IR BC2,IR BCc,Readable status
MA350-0238,2022-04-12T09:56:01Z,26143,12,1,1.1,1.4,0,2022-04-12,9:56:01 AM,0,0,0,0,60,64,100,-25767,-178,-1807,3,100,99.95,55.43,44.51,35.04,32.8,16.27,76364,35.44,DUALSPOT-UV-BLUE-GREEN-RED-IR,919405,748128,931741,1.61957,1.209667,0,911126,916113,836603,1.217616,0.950956,0,899810,923923,856410,1.040106,0.805324,0,894547,910043,908719,0.830076,0.634908,0,737968,833784,946813,0.615047,0.454621,0,6828,6514,6828,6383,6287,6383,6103,5802,6103,5805,5527,5805,6088,5591,6088,NA
MA350-0238,2022-04-12T09:57:01Z,26144,12,1,1.1,1.4,0,2022-04-12,9:57:01 AM,0,0,0,0,60,64,100,-25744,-188,-1848,3,100,99.72,55.43,44.29,35.1,32.6,16.23,76368,35.5,DUALSPOT-UV-BLUE-GREEN-RED-IR,919624,748597,933596,1.796115,1.347171,0,911645,916871,838166,1.352394,1.055992,0,900746,925113,858294,1.155727,0.897175,0,889229,904814,904183,0.922404,0.706636,0,733400,828723,941553,0.684873,0.508471,0,9353,9118,9353,9012,8790,9012,8658,8609,8658,8355,8124,8355,8798,8492,8798,NA
MA350-0238,2022-04-12T09:58:01Z,26145,12,1,1.1,1.4,0,2022-04-12,9:58:01 AM,0,0,0,0,60,64,100,-25751,-83,-1837,3,100,100.23,55.42,44.82,35.18,32.4,16.17,76356,35.56,DUALSPOT-UV-BLUE-GREEN-RED-IR,914135,744295,928772,1.878691,1.410593,0,913383,918763,840276,1.412516,1.104206,0,896486,920858,854656,1.205867,0.93562,0,890382,906106,905686,0.96338,0.738328,0,734097,829587,942760,0.715604,0.530075,0,4375,4156,4375,4021,3987,4021,3755,3561,3755,3709,3547,3709,3873,3367,3873,NA
MA350-0238,2022-04-12T09:59:01Z,26146,12,1,1.1,1.4,0,2022-04-12,9:59:01 AM,0,0,0,0,60,64,100,-25778,-150,-1867,3,100,99.68,55.3,44.38,35.24,32,16.07,76356,35.69,DUALSPOT-UV-BLUE-GREEN-RED-IR,914541,744787,930058,1.969287,1.480205,0,906100,911550,834139,1.477831,1.156205,0,896410,920851,855028,1.261478,0.978487,0,892521,908399,908288,1.007356,0.771129,0,734547,830178,943653,0.750488,0.554761,0,4811,4606,4811,4377,4343,4377,4174,4009,4174,3989,3707,3989,4405,3885,4405,NA
MA350-0238,2022-04-12T10:00:01Z,26147,12,1,1.1,1.4,0,2022-04-12,10:00:01 AM,0,0,0,0,60,64,100,-25770,-125,-1848,3,100,100.26,55.51,44.75,35.3,31.7,15.95,76344,35.69,DUALSPOT-UV-BLUE-GREEN-RED-IR,915902,746068,932447,2.075084,1.562797,0,906623,912236,835285,1.556003,1.218223,0,898630,923282,857749,1.327693,1.030862,0,884474,900279,900558,1.059241,0.81217,0,735196,830993,944872,0.790893,0.584671,0,5597,5420,5597,5219,5137,5219,4951,4858,4951,4688,4600,4688,5083,4668,5083,NA
MA350-0238,2022-04-12T10:01:01Z,26148,12,1,1.1,1.4,0,2022-04-12,10:01:01 AM,0,0,0,0,60,64,100,-25760,-105,-1810,3,100,99.86,55.23,44.63,35.36,31.3,15.8,76336,35.75,DUALSPOT-UV-BLUE-GREEN-RED-IR,909420,741045,927261,2.226473,1.680753,0,907863,913721,837381,1.669157,1.307118,0,900516,925462,860422,1.425755,1.106287,0,888760,904820,905648,1.136462,0.870091,0,731456,826909,940629,0.848484,0.626683,0,8049,7761,8049,7594,7382,7594,7370,7015,7370,7013,6510,7013,7283,6574,7283,NA
MA350-0238,2022-04-12T10:02:01Z,26149,12,1,1.1,1.4,0,2022-04-12,10:02:01 AM,0,0,0,0,60,64,100,-25770,-103,-1870,3,100,100.37,55.65,44.71,35.41,30.8,15.62,76336,35.81,DUALSPOT-UV-BLUE-GREEN-RED-IR,910073,741762,929011,2.347958,1.774499,0,909193,915197,839337,1.759761,1.378912,0,894332,919228,855127,1.502108,1.167012,0,889266,905439,906694,1.196739,0.917147,0,731522,827095,941105,0.891929,0.658882,0,6410,6157,6410,6034,5951,6034,5695,5637,5695,5433,5279,5433,5452,5029,5452,NA
MA350-0238,2022-04-12T10:03:01Z,26150,12,1,1.1,1.4,0,2022-04-12,10:03:01 AM,0,0,0,0,60,64,100,-25750,-100,-1882,3,100,99.96,55.22,44.74,35.47,30.4,15.42,76332,35.88,DUALSPOT-UV-BLUE-GREEN-RED-IR,911155,742760,930892,2.433281,1.840614,0,902797,908882,833918,1.820404,1.427132,0,895023,920033,856202,1.55189,1.206279,0,890435,906700,908209,1.236453,0.948271,0,732293,827979,942356,0.922103,0.681632,0,4537,4340,4537,4070,3995,4070,3742,3643,3742,3607,3490,3607,3816,3552,3816,NA
MA350-0238,2022-04-12T10:04:01Z,26151,12,1,1.1,1.4,0,2022-04-12,10:04:01 AM,0,0,0,0,60,64,100,-25757,-82,-1853,3,100,100.22,55.41,44.82,35.51,29.9,15.23,76320,35.94,DUALSPOT-UV-BLUE-GREEN-RED-IR,912368,743842,932754,2.499761,1.894395,0,903630,909792,835100,1.867092,1.465452,0,896993,922148,858445,1.592844,1.237971,0,892158,908551,910256,1.267548,0.971116,0,732808,828625,943256,0.945652,0.69954,0,3523,3524,3523,3123,3169,3123,3068,2935,3068,2815,2557,2815,2968,2791,2968,NA
MA350-0238,2022-04-12T10:05:01Z,26152,12,1,1.1,1.4,0,2022-04-12,10:05:01 AM,0,0,0,0,60,64,100,-25774,-111,-1840,3,100,99.68,55.37,44.31,35.55,29.5,15.04,76320,36,DUALSPOT-UV-BLUE-GREEN-RED-IR,912292,743885,933387,2.575408,1.955387,0,903812,910056,835710,1.921642,1.510513,0,897566,922786,859380,1.638668,1.276201,0,885832,902138,904121,1.303202,1.000799,0,733793,829803,944773,0.970727,0.719574,0,4012,4042,4012,3651,3769,3651,3435,3581,3435,3230,3360,3230,3163,3158,3163,NA
MA350-0238,2022-04-12T10:06:01Z,26153,12,1,1.1,1.4,0,2022-04-12,10:06:01 AM,0,0,0,0,60,64,100,-25737,-129,-1894,3,100,100.08,55.61,44.47,35.57,29,14.82,76316,36,DUALSPOT-UV-BLUE-GREEN-RED-IR,905286,738355,927254,2.681067,2.04165,0,904254,910650,836836,2.001727,1.576942,0,897369,922693,859799,1.70598,1.331741,0,885762,902140,904547,1.35636,1.04555,0,733435,829511,944750,1.010856,0.750047,0,5579,5697,5579,5337,5537,5337,5024,5184,5024,4795,5048,4795,5040,4786,5040,NA
MA350-0238,2022-04-12T10:07:01Z,26154,12,1,1.1,1.4,0,2022-04-12,10:07:01 AM,0,0,0,0,60,64,100,-25721,-92,-1857,3,100,100.04,55.42,44.62,35.62,28.6,14.64,76316,36.06,DUALSPOT-UV-BLUE-GREEN-RED-IR,904393,737848,927764,2.833682,2.163368,0,905103,911673,838525,2.116686,1.671499,0,895652,921094,858993,1.805633,1.413506,0,885846,902394,905381,1.436736,1.109765,0,733184,829286,944901,1.066593,0.795363,0,8087,8011,8087,7689,7854,7689,7464,7606,7464,7275,7219,7275,7025,7093,7025,NA
MA350-0238,2022-04-12T10:08:01Z,26155,12,1,1.1,1.4,0,2022-04-12,10:08:01 AM,0,0,0,0,60,64,100,-25771,-82,-1871,3,100,100.22,55.27,44.96,35.65,28.3,14.47,76316,36.06,DUALSPOT-UV-BLUE-GREEN-RED-IR,905562,738962,929799,2.930765,2.237121,0,905564,912285,839581,2.189076,1.727032,0,890926,916349,854952,1.86662,1.460791,0,886597,903284,906547,1.484797,1.145124,0,733705,829957,945924,1.101598,0.820234,0,5159,4817,5159,4855,4578,4855,4580,4366,4580,4362,3945,4362,4424,3864,4424,NA
MA350-0238,2022-04-12T10:09:01Z,26156,12,1,1.1,1.4,0,2022-04-12,10:09:01 AM,0,0,0,0,60,64,100,-25751,-92,-1881,3,100,100.08,55.8,44.28,35.67,28,14.31,76312,36.06,DUALSPOT-UV-BLUE-GREEN-RED-IR,905196,738806,930352,3.023827,2.31067,-0.005979,905158,912000,839792,2.257091,1.783556,0,892262,917850,856789,1.92523,1.508117,0,887955,904735,908377,1.529759,1.182902,0,734587,831003,947352,1.134119,0.845142,0,4898,4877,4811,4518,4731,4518,4360,4436,4360,4042,4279,4042,4071,3928,4071,NA
MA350-0238,2022-04-12T10:10:01Z,26157,12,1,1.1,1.4,0,2022-04-12,10:10:01 AM,0,0,0,0,60,64,100,-25740,-114,-1881,3,100,100.01,55.58,44.42,35.68,27.7,14.17,76312,36.13,DUALSPOT-UV-BLUE-GREEN-RED-IR,903528,737667,929836,3.151511,2.408765,-0.06235,903325,910355,838952,2.356899,1.860785,0,890107,915832,855484,2.010142,1.574033,0,885892,902780,906912,1.59873,1.235254,0,733269,829624,946124,1.182922,0.881364,0,6746,6485,5638,6655,6444,6655,6341,6159,6341,6224,5911,6224,6132,5695,6132,NA
MA350-0238,2022-04-12T10:11:01Z,26158,12,1,1.1,1.4,0,2022-04-12,10:11:01 AM,0,0,0,0,60,64,100,-25742,-100,-1860,3,100,100.15,55.44,44.71,35.7,27.5,14.1,76312,36.13,DUALSPOT-UV-BLUE-GREEN-RED-IR,903771,738063,931112,3.26731,2.498275,-0.065398,905091,912299,841294,2.445633,1.930511,0,889320,915155,855354,2.08832,1.6348,0,886778,903814,908338,1.662656,1.284111,0,733398,829881,946716,1.230335,0.91559,0,6133,5879,5054,5932,5780,5932,5853,5642,5853,5784,5481,5784,5973,5347,5973,NA
MA350-0238,2022-04-12T10:12:01Z,26159,12,1,1.1,1.4,0,2022-04-12,10:12:01 AM,0,0,0,0,60,64,100,-25728,-75,-1892,3,100,99.88,55.3,44.58,35.72,27.3,14,76312,36.19,DUALSPOT-UV-BLUE-GREEN-RED-IR,905492,739552,933518,3.337408,2.554611,-0.003904,897260,904490,834441,2.500016,1.973718,0,892086,918065,858369,2.134573,1.671392,0,887599,904717,909522,1.699612,1.313301,0,728686,824582,940858,1.25567,0.935196,0,3722,3711,3674,3645,3592,3645,3472,3407,3472,3352,3284,3352,3199,3072,3199,NA
MA350-0238,2022-04-12T10:13:01Z,26160,12,1,1.1,1.4,0,2022-04-12,10:13:01 AM,0,0,0,0,60,64,100,-25771,-92,-1832,3,100,100.3,55.23,45.07,35.74,27.2,13.95,76312,36.19,DUALSPOT-UV-BLUE-GREEN-RED-IR,904475,738800,933064,3.40336,2.607183,-0.032233,896195,903508,833895,2.548444,2.013761,0,892004,918046,858640,2.175921,1.7061,0,881483,898533,903550,1.732378,1.339465,0,729703,825741,942352,1.279222,0.954611,0,3506,3425,3160,3250,3293,3250,3107,3196,3107,2976,2912,2976,2978,3009,2978,NA
MA350-0238,2022-04-12T10:14:01Z,26161,12,1,1.1,1.4,0,2022-04-12,10:14:01 AM,0,0,0,0,60,64,100,-25725,-107,-1860,3,100,99.96,55.38,44.58,35.75,27.1,13.89,76308,36.19,DUALSPOT-UV-BLUE-GREEN-RED-IR,903241,737962,932882,3.510748,2.694885,0.01673,896157,903597,834551,2.630442,2.082396,0,889758,915873,857138,2.244663,1.762569,0,879805,896897,902362,1.78755,1.385747,0,728450,824399,941152,1.318613,0.987185,0,5694,5777,6050,5488,5706,5488,5152,5258,5152,4997,5207,4997,4968,5103,4968,NA
MA350-0238,2022-04-12T10:15:01Z,26162,12,1,1.1,1.4,0,2022-04-12,10:15:01 AM,0,0,0,0,60,64,100,-25729,-107,-1866,3,100,99.86,55.62,44.24,35.78,26.9,13.81,76308,36.19,DUALSPOT-UV-BLUE-GREEN-RED-IR,896425,732576,926962,3.635086,2.797622,0.039608,897152,904719,836270,2.723223,2.161843,0,891096,917330,859069,2.326375,1.832271,0,880616,897800,903754,1.85101,1.439549,0,728952,825047,942255,1.36396,1.025175,0,6565,6819,7669,6183,6656,6183,6098,6539,6098,5723,6100,5723,5694,5997,5694,NA
MA350-0238,2022-04-12T10:16:01Z,26163,12,1,1.1,1.4,0,2022-04-12,10:16:01 AM,0,0,0,0,60,64,100,-25737,-107,-1918,3,100,99.97,55.23,44.74,35.8,26.8,13.79,76312,36.25,DUALSPOT-UV-BLUE-GREEN-RED-IR,895033,731903,928252,3.902641,3.005912,-0.052322,895815,903855,836983,2.936489,2.329362,0,884334,910783,854295,2.50923,1.97683,0,879770,897278,904381,2.00053,1.556959,0,728568,824840,942862,1.470363,1.106675,0,14227,13672,11814,14312,13878,14312,13743,13412,13743,13580,13164,13580,13456,12723,13456,NA
MA350-0238,2022-04-12T10:17:01Z,26164,12,1,1.1,1.4,0,2022-04-12,10:17:01 AM,0,0,0,0,60,64,100,-25735,-125,-1866,3,100,100.02,55.32,44.7,35.82,26.7,13.74,76304,36.25,DUALSPOT-UV-BLUE-GREEN-RED-IR,892809,730463,928435,4.193867,3.239223,-0.009344,893636,901974,836729,3.167862,2.51748,0.009198,883332,910046,854927,2.709972,2.140147,0,880153,897928,906146,2.165245,1.689832,0,728785,825244,944167,1.586824,1.199955,0,15460,15327,14877,15503,15598,15968,15063,15166,15063,14936,14910,14936,14704,14575,14704,NA
MA350-0238,2022-04-12T10:18:01Z,26165,12,1,1.1,1.4,0,2022-04-12,10:18:01 AM,0,0,0,0,60,64,100,-25759,-100,-1866,3,100,100.17,55.5,44.67,35.84,26.6,13.69,76300,36.25,DUALSPOT-UV-BLUE-GREEN-RED-IR,890990,729353,928619,4.416303,3.411735,-0.042993,893150,901857,837773,3.342849,2.655012,-0.038347,887090,914208,859856,2.860748,2.258015,0,879262,897277,906364,2.287476,1.784764,0,727595,824088,943442,1.674377,1.265358,0,11769,11342,9891,11685,11412,10358,11276,10953,11276,11046,10661,11046,11017,10227,11017,NA
MA350-0238,2022-04-12T10:19:01Z,26166,12,1,1.1,1.4,0,2022-04-12,10:19:01 AM,0,0,0,0,60,64,100,-25732,-142,-1850,3,100,99.78,55.45,44.33,35.86,26.5,13.64,76304,36.31,DUALSPOT-UV-BLUE-GREEN-RED-IR,891020,729531,929899,4.556812,3.528411,0.032013,893811,902666,839217,3.448683,2.743924,0.05765,881504,908597,855209,2.952808,2.334935,0,879028,897133,906727,2.36007,1.844372,0,727737,824309,944089,1.726526,1.308162,0,7442,7729,8713,7075,7433,8830,6892,7202,6892,6567,6744,6567,6569,6743,6569,NA
MA350-0238,2022-04-12T10:20:01Z,26167,12,1,1.1,1.4,0,2022-04-12,10:20:01 AM,0,0,0,0,60,64,100,-25759,-92,-1862,3,100,100.13,55.87,44.26,35.88,26.4,13.59,76300,36.31,DUALSPOT-UV-BLUE-GREEN-RED-IR,891830,730281,931603,4.652159,3.610494,0.060046,893945,902854,839887,3.518874,2.802807,0.063919,882549,909761,856695,3.011829,2.384234,0.068823,879290,897461,907421,2.40827,1.884982,0,727914,824571,944666,1.762611,1.338406,0,5011,5446,6954,4656,4931,6007,4384,4623,5531,4327,4602,4327,4510,4772,4510,NA
MA350-0238,2022-04-12T10:21:01Z,26168,12,1,1.1,1.4,0,2022-04-12,10:21:01 AM,0,0,0,0,60,64,100,-25751,-111,-1874,3,100,99.87,55.32,44.55,35.9,26.2,13.53,76300,36.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,891411,730048,932015,4.739597,3.683498,0.029868,893356,902334,839893,3.582776,2.85756,0.067003,882778,910102,857410,3.066021,2.429158,0.040375,881092,899382,909694,2.452381,1.920267,0,728746,825569,946025,1.793682,1.362882,0,4641,4812,5407,4281,4555,5634,4066,4185,4641,4000,3973,4000,3923,3837,3923,NA
MA350-0238,2022-04-12T10:22:01Z,26169,12,1,1.1,1.4,0,2022-04-12,10:22:01 AM,0,0,0,0,60,64,100,-25740,-94,-1891,3,100,100.37,55.41,44.95,35.94,26.1,13.49,76296,36.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,890167,729140,931535,4.831351,3.759094,0.013553,892980,902095,840075,3.650982,2.912915,0.000512,880124,907456,855327,3.125298,2.477193,-0.00176,879634,897987,908615,2.498963,1.95823,0,727484,824203,944695,1.829183,1.391601,0,4862,4938,5203,4562,4564,4571,4440,4435,4416,4217,4236,4217,4475,4462,4475,NA
MA350-0238,2022-04-12T10:23:01Z,26170,12,1,1.1,1.4,0,2022-04-12,10:23:01 AM,0,0,0,0,60,64,100,-25703,-92,-1881,3,100,100.48,55.39,45.09,35.97,25.9,13.42,76292,36.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,889943,729077,931967,4.90334,3.816965,-0.012229,885629,894781,833664,3.705072,2.956599,-0.01108,880278,907703,855876,3.170943,2.514369,0.000652,879846,898278,909165,2.536156,1.987255,0,727493,824292,945001,1.856237,1.410501,0,3816,3769,3600,3619,3590,3476,3420,3422,3427,3368,3228,3368,3411,2927,3411,NA
MA350-0238,2022-04-12T10:24:01Z,26171,12,1,1.1,1.4,0,2022-04-12,10:24:01 AM,0,0,0,0,60,64,100,-25744,-100,-1876,3,100,100.13,55.43,44.7,36.01,25.8,13.35,76292,36.44,DUALSPOT-UV-BLUE-GREEN-RED-IR,883994,724320,926740,5.012352,3.907705,0.025369,885935,895194,834625,3.786969,3.025246,0.043185,882805,910384,858929,3.241717,2.573431,0.04449,872615,890957,902209,2.591539,2.034597,0,728541,825501,946740,1.896577,1.445725,0,5775,5961,6617,5476,5691,6547,5300,5484,6193,5012,5312,5012,5083,5503,5083,NA
MA350-0238,2022-04-12T10:25:01Z,26172,12,1,1.1,1.4,0,2022-04-12,10:25:01 AM,0,0,0,0,60,64,100,-25745,-105,-1870,3,100,99.98,55.02,44.96,36.03,25.6,13.24,76288,36.44,DUALSPOT-UV-BLUE-GREEN-RED-IR,883613,724248,927752,5.154114,4.019285,-0.038869,886230,895720,835902,3.895473,3.110367,-0.063409,882557,910312,859525,3.33544,2.647263,-0.063177,875417,893982,905800,2.667943,2.093388,0,724239,820743,941682,1.952684,1.48776,0,7566,7288,6303,7309,7017,5861,7070,6816,5840,6965,6559,6965,7122,6530,7122,NA
MA350-0238,2022-04-12T10:26:01Z,26173,12,1,1.1,1.4,0,2022-04-12,10:26:01 AM,0,0,0,0,60,64,100,-25746,-85,-1889,3,100,100.01,55.48,44.53,36.07,25.4,13.17,76284,36.5,DUALSPOT-UV-BLUE-GREEN-RED-IR,882638,723768,928660,5.361267,4.183647,-0.010268,885894,895692,836916,4.05969,3.242332,0.001463,874523,902293,852906,3.477847,2.760166,-0.018115,874081,892833,905478,2.783998,2.184679,0,723531,820117,941582,2.035623,1.552228,0,10966,10840,10393,10971,10985,11037,10655,10525,10024,10493,10284,10493,10442,10112,10442,NA
MA350-0238,2022-04-12T10:27:01Z,26174,12,1,1.1,1.4,0,2022-04-12,10:27:01 AM,0,0,0,0,60,64,100,-25742,-75,-1875,3,100,100.14,55.53,44.61,36.1,25.2,13.05,76284,36.5,DUALSPOT-UV-BLUE-GREEN-RED-IR,882301,723707,929718,5.51675,4.307699,-0.006007,886590,896593,838550,4.180682,3.337986,-0.020726,874585,902552,853829,3.582179,2.842713,-0.022367,874492,893418,906660,2.868422,2.250066,0,723557,820217,942178,2.09856,1.599181,0,8223,8165,7959,8076,7947,7432,7799,7680,7221,7627,7351,7627,7917,7350,7917,NA
MA350-0238,2022-04-12T10:28:01Z,26175,12,1,1.1,1.4,0,2022-04-12,10:28:01 AM,0,0,0,0,60,64,100,-25737,-113,-1889,3,100,100.05,55.69,44.36,36.13,24.9,12.95,76280,36.56,DUALSPOT-UV-BLUE-GREEN-RED-IR,882227,723827,930877,5.654438,4.417166,-0.001596,886515,896668,839349,4.286206,3.425276,0.037481,873645,901749,853697,3.67372,2.916282,0.011267,874513,893550,907349,2.943961,2.311477,0,723852,820682,943051,2.15158,1.640775,0,7261,7246,7196,7023,7293,8367,6823,6884,7118,6804,6944,6804,6650,6549,6650,NA
